zone,gender,age,indigenous,fam_members,eapop,labcat,labbranch,firm_size,formality,work_hours,work_income,educ,poverty,job_tenure
urban,man,60,other,2,1,employee,services,large,1,48,2256,2,notpoor,2
urban,woman,60,indigenous,2,1,selfemployed,trade,small,0,48,1200,0,notpoor,4
urban,man,36,indigenous,5,1,selfemployed,construction,small,0,48,2260,0,poor,0.0383583
urban,woman,32,indigenous,5,0,,,,,,,0,poor,
urban,woman,12,other,5,0,,,,,,,5,poor,
urban,man,10,other,5,0,,,,,,,3,poor,
urban,man,6,other,5,0,,,,,,,0,poor,
urban,man,25,indigenous,4,1,selfemployed,transportation,small,0,60,3000,12,notpoor,0.3333333
urban,woman,24,indigenous,4,1,employee,services,,0,24,800,8,notpoor,0.6666667
urban,man,7,indigenous,4,0,,,,,,,1,notpoor,
urban,woman,3,indigenous,4,0,,,,,,,,notpoor,
urban,man,47,indigenous,3,1,employee,services,medium,0,48,2060,5,poor,0.5
urban,woman,52,indigenous,3,0,,,,,,,5,poor,
urban,man,14,indigenous,3,0,,,,,,,8,poor,
urban,man,23,indigenous,4,1,employee,services,medium,0,72,2060,8,poor,0.75
urban,woman,22,indigenous,4,0,,,,,,,10,poor,
urban,man,2,indigenous,4,0,,,,,,,,poor,
urban,woman,0,indigenous,4,0,,,,,,,,poor,
urban,man,49,indigenous,4,1,employee,services,medium,0,48,2500,4,notpoor,0.25
urban,woman,47,indigenous,4,1,employee,manufacture,medium,0,56,3000,10,notpoor,0.6666667
urban,woman,19,other,4,0,,,,,,,11,notpoor,
urban,woman,13,other,4,0,,,,,,,7,notpoor,
urban,man,24,other,4,1,selfemployed,manufacture,small,0,48,2850,12,poor,3
urban,woman,21,other,4,0,,,,,,,9,poor,
urban,man,3,other,4,0,,,,,,,,poor,
urban,woman,0,other,4,0,,,,,,,,poor,
urban,man,21,other,4,1,employee,manufacture,large,1,48,3585,12,notpoor,6
urban,woman,22,other,4,0,,,,,,,12,notpoor,
urban,woman,2,other,4,0,,,,,,,,notpoor,
urban,woman,0,other,4,0,,,,,,,,notpoor,
urban,man,43,indigenous,9,1,selfemployed,transportation,small,0,56,4500,5,poor,3
urban,woman,30,indigenous,9,0,,,,,,,0,poor,
urban,man,17,other,9,1,employee,trade,small,0,30,2500,9,poor,3
urban,man,11,other,9,0,,,,,,,4,poor,
urban,man,8,other,9,0,,,,,,,3,poor,
urban,woman,7,other,9,0,,,,,,,1,poor,
urban,woman,5,other,9,0,,,,,,,0,poor,
urban,man,3,other,9,0,,,,,,,,poor,
urban,woman,1,other,9,0,,,,,,,,poor,
urban,man,28,indigenous,4,1,selfemployed,construction,small,0,54,1880,12,poor,8
urban,woman,23,indigenous,4,0,,,,,,,5,poor,
urban,man,5,other,4,0,,,,,,,0,poor,
urban,man,4,other,4,0,,,,,,,0,poor,
urban,man,24,indigenous,3,1,selfemployed,construction,small,0,60,3000,12,notpoor,0.0833333
urban,woman,26,indigenous,3,1,selfemployed,manufacture,small,0,45,1400,3,notpoor,3
urban,man,2,indigenous,3,0,,,,,,,,notpoor,
urban,woman,20,indigenous,2,1,employee,services,large,0,40,2000,6,notpoor,0.1666667
urban,man,3,other,2,0,,,,,,,,notpoor,
urban,man,56,other,5,1,selfemployed,transportation,small,0,48,6000,5,notpoor,2
urban,woman,56,other,5,1,selfemployed,trade,small,0,48,1700,4,notpoor,2
urban,woman,20,other,5,0,,,,,,,13,notpoor,
urban,woman,18,other,5,0,,,,,,,12,notpoor,
urban,man,8,other,5,0,,,,,,,2,notpoor,
urban,woman,42,indigenous,3,1,selfemployed,trade,small,0,54,2640,11,notpoor,3
urban,man,19,indigenous,3,1,selfemployed,manufacture,small,0,54,1950,12,notpoor,1
urban,man,17,indigenous,3,0,,,,,,,11,notpoor,
urban,woman,37,indigenous,4,1,employee,services,medium,1,48,3063.667,17,notpoor,6
urban,man,17,other,4,0,,,,,,,10,notpoor,
urban,woman,15,other,4,0,,,,,,,8,notpoor,
urban,woman,0,other,4,0,,,,,,,,notpoor,
urban,woman,51,other,3,0,,,,,,,0,poor,
urban,woman,27,other,3,1,employee,services,,0,48,1400,12,poor,0.4166667
urban,woman,3,other,3,0,,,,,,,,poor,
urban,woman,90,indigenous,1,0,,,,,,,0,poor,
urban,man,32,other,6,1,selfemployed,transportation,small,0,60,3900,12,poor,0.3333333
urban,woman,32,other,6,1,selfemployed,trade,small,0,56,1290,8,poor,1
urban,woman,10,other,6,0,,,,,,,4,poor,
urban,woman,9,other,6,0,,,,,,,2,poor,
urban,man,7,other,6,0,,,,,,,0,poor,
urban,man,2,other,6,0,,,,,,,,poor,
urban,man,19,indigenous,1,1,selfemployed,services,small,0,5,473,11,notpoor,0.3333333
urban,man,51,indigenous,5,1,selfemployed,services,small,0,24,900,0,poor,1
urban,woman,51,indigenous,5,1,employee,services,,0,48,1390,2,poor,0.6666667
urban,woman,23,indigenous,5,0,,,,,,,16,poor,
urban,woman,20,other,5,0,,,,,,,13,poor,
urban,man,19,other,5,0,,,,,,,13,poor,
urban,woman,42,indigenous,4,1,selfemployed,trade,small,0,60,5160,4,notpoor,0.5
urban,woman,24,indigenous,4,0,,,,,,,16,notpoor,
urban,woman,22,indigenous,4,0,,,,,,,15,notpoor,
urban,man,11,indigenous,4,0,,,,,,,5,notpoor,
urban,man,30,other,4,1,selfemployed,transportation,small,0,48,4500,12,notpoor,10
urban,woman,32,other,4,0,,,,,,,12,notpoor,
urban,man,6,other,4,0,,,,,,,0,notpoor,
urban,woman,2,other,4,0,,,,,,,,notpoor,
urban,man,59,indigenous,2,1,selfemployed,trade,small,0,60,10500,5,notpoor,2
urban,woman,55,indigenous,2,1,selfemployed,trade,small,0,84,2100,5,notpoor,5
urban,man,28,indigenous,4,1,selfemployed,construction,small,0,48,2700,8,poor,0.3333333
urban,woman,30,indigenous,4,0,,,,,,,8,poor,
urban,woman,7,other,4,0,,,,,,,0,poor,
urban,man,4,other,4,0,,,,,,,0,poor,
